,metric_name,source_name,source_token,start_anomaly,end_anomaly,duration,max_var
0,1,29,32,2020-05-31 01:18:36.421157,2020-05-31 02:17:49.626481,0,-110.0
1,2,29,32,2020-05-31 01:20:44.614190,2020-05-31 02:19:18.611395,0,-121.0
2,3,30,33,2020-06-01 14:00:19.142553,2020-06-01 17:01:04.303297,3,-64.0
3,4,31,34,2020-06-02 07:01:15.658535,2020-06-02 10:00:33.685167,2,294.0
4,5,31,34,2020-06-02 07:03:50.532582,2020-06-02 11:03:48.045924,3,217.0
5,6,31,34,2020-06-02 07:15:38.491257,2020-06-02 11:15:35.625825,3,205.0
6,7,31,34,2020-06-02 07:16:21.002919,2020-06-02 10:15:11.906921,2,286.0
7,8,30,33,2020-06-02 08:03:06.508224,2020-06-02 11:02:30.278809,2,119.0
8,9,30,33,2020-06-02 10:19:13.733484,2020-06-02 11:19:23.423861,1,187.0
9,10,30,33,2020-06-02 12:19:46.503108,2020-06-02 15:18:34.426318,2,204.0
10,11,30,33,2020-06-03 09:20:00.101007,2020-06-03 13:20:03.554128,4,279.0
11,12,30,33,2020-06-04 08:01:32.431635,2020-06-04 11:00:10.775112,2,68.0
12,13,29,32,2020-06-04 17:19:11.630399,2020-06-04 19:17:26.533016,1,185.0
13,3,30,33,2020-06-05 14:01:46.329595,2020-06-05 17:00:29.656467,2,146.0
14,1,29,32,2020-06-07 02:18:49.254823,2020-06-07 03:18:25.279606,0,-109.0
15,2,29,32,2020-06-08 08:18:56.033410,2020-06-08 11:20:55.821287,3,87.0
16,14,30,33,2020-06-08 09:03:13.124362,2020-06-08 12:02:45.726082,2,119.0
17,15,30,33,2020-06-10 14:07:50.415702,2020-06-10 18:06:44.017069,3,48.0
18,13,29,32,2020-06-11 14:07:00.859480,2020-06-11 17:07:27.320968,3,124.0
19,16,30,33,2020-06-12 13:07:04.500895,2020-06-12 16:06:43.362781,2,174.0
20,17,30,33,2020-06-12 13:07:50.076037,2020-06-12 16:07:58.807281,3,2107.0
21,11,30,33,2020-06-12 15:06:45.404152,2020-06-12 18:07:11.350039,3,1542.0
22,12,30,33,2020-06-13 08:01:02.984283,2020-06-13 11:01:01.691359,2,-81.0
23,2,29,32,2020-06-14 08:07:14.033986,2020-06-14 11:07:00.120583,2,-73.0
24,11,30,33,2020-06-15 08:06:45.229760,2020-06-15 11:07:35.865928,3,639.0
25,18,30,33,2020-06-15 10:08:45.558652,2020-06-15 18:08:26.876228,7,2669.0
26,19,30,33,2020-06-15 11:02:04.046073,2020-06-15 14:02:11.129162,3,169.0
27,20,30,33,2020-06-15 12:02:08.434909,2020-06-15 16:02:02.909826,3,558.0
28,21,30,33,2020-06-15 13:06:21.980534,2020-06-15 16:06:24.911075,3,85.0
29,18,30,33,2020-06-15 21:08:48.434670,2020-06-16 02:08:30.813838,4,-93.0
30,18,30,33,2020-06-16 08:09:07.814939,2020-06-16 11:08:24.741686,2,420.0
31,18,30,33,2020-06-16 12:08:37.760947,2020-06-16 16:08:41.993841,4,204.0
32,18,30,33,2020-06-17 08:09:00.342403,2020-06-17 11:08:14.520279,2,284.0
33,22,30,33,2020-06-17 09:06:30.019610,2020-06-17 12:07:04.049561,3,49.0
34,18,30,33,2020-06-17 21:08:16.134377,2020-06-18 00:08:23.292967,3,-94.0
35,18,30,33,2020-06-18 08:08:30.168154,2020-06-18 11:08:50.738559,3,91.0
36,15,30,33,2020-06-18 09:07:15.013112,2020-06-18 12:07:03.779683,2,47.0
37,12,30,33,2020-06-20 08:01:01.297948,2020-06-20 11:01:09.261708,3,-85.0
38,23,30,33,2020-06-20 08:01:03.336520,2020-06-20 12:01:09.001802,4,-83.0
39,2,29,32,2020-06-20 08:06:59.880029,2020-06-20 11:06:35.129947,2,-83.0
40,2,29,32,2020-06-21 08:06:34.636044,2020-06-21 11:07:07.360156,3,-84.0
41,12,30,33,2020-06-21 09:01:04.794691,2020-06-21 12:01:03.073197,2,-85.0
42,2,29,32,2020-06-21 13:07:04.599209,2020-06-21 16:05:41.655109,2,-82.0
43,6,31,34,2020-06-22 07:06:36.379653,2020-06-22 12:05:48.841334,4,-100.0
44,4,31,34,2020-06-22 08:01:09.612602,2020-06-22 11:01:11.545860,3,-100.0
45,5,31,34,2020-06-22 08:02:26.360787,2020-06-22 12:02:02.694069,3,-100.0
46,7,31,34,2020-06-22 08:05:19.822985,2020-06-22 11:06:11.983371,3,-100.0
47,24,30,33,2020-06-22 09:06:30.016891,2020-06-22 12:06:26.133925,2,463.0
48,5,31,34,2020-06-22 13:02:16.090797,2020-06-22 17:02:07.648674,3,-100.0
49,6,31,34,2020-06-22 13:05:06.254859,2020-06-22 16:06:05.170819,3,-99.0
50,24,30,33,2020-06-22 13:06:43.483890,2020-06-22 16:07:33.333940,3,243.0
51,18,30,33,2020-06-22 13:08:25.531660,2020-06-22 16:08:31.131721,3,180.0
52,25,31,34,2020-06-22 13:09:02.631036,2020-06-22 17:08:55.882076,3,647.0
53,16,30,33,2020-06-22 14:07:29.633215,2020-06-22 17:07:01.916240,2,289.0
54,25,31,34,2020-06-23 07:08:30.245632,2020-06-23 10:07:56.670739,2,181.0
55,26,31,34,2020-06-23 07:08:47.961056,2020-06-23 10:08:15.563183,2,4409.0
56,4,31,34,2020-06-23 11:01:10.929830,2020-06-23 15:01:09.649218,3,82.0
57,5,31,34,2020-06-23 11:02:06.374875,2020-06-23 16:02:09.230139,5,96.0
58,7,31,34,2020-06-23 11:05:23.810535,2020-06-23 15:06:00.641481,4,79.0
59,6,31,34,2020-06-23 11:05:47.797931,2020-06-23 17:06:47.350619,6,94.0
60,27,30,33,2020-06-23 15:08:11.812550,2020-06-23 18:08:18.869452,3,183.0
61,4,31,34,2020-06-24 08:01:03.502258,2020-06-24 11:01:08.792091,3,171.0
62,7,31,34,2020-06-24 08:05:41.804553,2020-06-24 11:05:54.075154,3,172.0
63,24,30,33,2020-06-24 08:07:29.752473,2020-06-24 11:07:39.074275,3,166.0
64,28,31,34,2020-06-25 12:00:00.000000,2020-06-25 15:00:00.000000,3,508.0
65,25,31,34,2020-06-27 08:00:00.000000,2020-06-27 12:00:00.000000,4,-100.0
66,2,29,32,2020-06-27 08:00:00.000000,2020-06-27 11:00:00.000000,3,-100.0
67,12,30,33,2020-06-27 22:00:00.000000,2020-06-28 02:00:00.000000,4,-104.0
68,2,29,32,2020-06-28 08:00:00.000000,2020-06-28 11:00:00.000000,3,-100.0
